"GEOID","totUnits","occP","vacantP","mobileP","lngTermP","rentalP","unitDens"
"01111",12056,71.69,28.31,23.49,34.96,26.59,20.7666328037419
"01113",27426,82.91,17.09,15.55,23.32,40.19,42.776284254291
"01115",36628,87.83,12.17,23.95,23.9,21.06,57.9923667875456
"01117",86077,91,9,7.98,20.73,20.33,109.600328127723
"01119",6858,73.59,26.41,30.53,34,35.05,7.58777745001432
"01121",37669,83.38,16.62,23.62,33.47,28.7,51.1266108908408
"01123",22310,73.72,26.28,18.06,34.16,27.15,31.1366709574147
"01125",90576,79.91,20.09,9.78,22.13,36.85,68.5738698760893
"01127",31057,80.61,19.39,29.28,29.62,23.93,39.2630334072461
"01129",8509,70.6,29.4,30.88,42.84,16.2,7.87723830983594
"01131",5728,66.41,33.59,40.36,39.35,35.04,6.44721248604612
"01133",13649,68.89,31.11,27.45,36.4,21.03,22.2667620184447
"02013",1106,77.76,22.24,4.34,48.03,38.14,0.15833837614028
"02016",1967,59.79,40.21,0.81,13.84,71.85,0.447850654889699
"02020",116493,91.44,8.56,4.52,18.63,39.14,68.2684874491057
"02050",6027,75.63,24.37,3.48,37.17,38.92,0.148342729820765
"02060",940,35.43,64.57,4.57,31,47.15,1.95029494766465
"02068",1627,39.27,60.73,9.4,29.58,21.91,0.128749906900149
"02070",2446,58.05,41.95,1.64,37.75,39.72,0.133433102169971
"02090",44059,82.87,17.13,4.32,17.19,41.49,6.0112005367449
"02100",1673,61.33,38.67,4.3,26.3,32.55,0.715085430387008
"02105",1656,48.25,51.75,5.5,42.21,26.16,0.252570338504536
"02110",13586,92.16,7.84,6.23,21.96,36,5.02468540022766
"02122",31150,69.79,30.21,5.65,22.17,26.72,1.94405156698052
"02130",6343,83.98,16.02,3.2,22.35,39.18,1.30599027330416
"02150",5405,80.91,19.09,4.9,18.77,45,0.817040889928855
"02158",2225,76.04,23.96,1.35,47.43,25.71,0.130316376098284
"02164",1421,29.91,70.09,0.84,39.69,30.82,0.0594628234174429
"02170",41756,73.95,26.05,3.3,18.22,23.11,1.68959079705339
"02180",4078,70.5,29.5,1.01,35.87,39.69,0.177521526788806
"02185",2583,76.11,23.89,0.58,34.53,49.75,0.0290799831139143
"02188",2741,67.86,32.14,1.35,42.38,44.41,0.0768900767440003
"02195",1762,66.4,33.6,10.5,29.99,31.71,0.607460219355903
"02198",3428,68.73,31.27,14.94,33.55,27.16,0.651370822894088
"02220",4199,84.81,15.19,9.15,26.63,42.09,1.46306517544725
"02230",647,61.82,38.18,8.19,24.97,48.5,1.49102068598588
"02240",3909,55.33,44.67,5.53,29.65,26.44,0.157477085350432
"02261",6178,50.06,49.94,11.33,24.79,26.9,0.180528481111748
"02275",1481,72.52,27.48,14.72,31.92,31.66,0.579424732740434
"02282",413,56.17,43.83,6.78,31.14,37.5,0.0541764181598331
"02290",4087,46.64,53.36,2.94,41.2,28.33,0.0280752179573424
"04001",32809,62.16,37.84,22.94,45.34,21.61,2.9300496621162
"04003",60883,80.89,19.11,20.94,21.38,30.83,9.87631736477412
"04005",65438,72.25,27.75,13.09,25.32,39.43,3.51465963820028
"04007",33411,64.97,35.03,21.15,24.86,26.14,7.02210642982645
"04009",13416,80.37,19.63,26.37,28.89,30.75,2.90221351421413
"04011",4435,72.72,27.28,28.59,23.86,50.82,2.40774884433521
"04012",16274,54.76,45.24,52.62,22.31,25.72,3.61675935448671
"04013",1719157,88.46,11.54,5.09,14.93,38.64,186.880972989312
"04015",113876,75.07,24.93,27.32,16.71,31.36,8.55502621080626
"04017",57753,59.58,40.42,21.82,31.57,30.94,5.80441300471185
"04019",456962,87.73,12.27,10.32,19.97,37.61,49.739091600995
"04021",171368,80.11,19.89,19.12,10.38,25.62,31.9369997809389
"04023",18255,84.52,15.48,5.8,25.4,33.82,14.7584762759939
"04025",115213,83.33,16.67,19.3,16.33,28.07,14.182726141366
"04027",91685,79.03,20.97,29.89,18.16,32.91,16.62782889606
"05001",9449,81.3,18.7,15.5,28.14,36.29,9.55641946057906
"05003",10148,78,22,21.89,35.42,26.33,10.9666337810185
"05005",22859,80.36,19.64,15.3,23.59,24.18,41.245109479815
"05007",102838,91.73,8.27,4.95,12.89,33.62,121.335025473288
"05009",16971,87.62,12.38,11.71,24.15,28.46,28.7649973082459
"05011",5810,78.09,21.91,17.56,26.89,37.49,8.94901605104948
"05013",2909,66.55,33.45,29.43,32.09,16.43,4.62802439507826
"05015",13674,81.62,18.38,15.94,21.71,24.02,21.706081217326
"05017",5434,79.28,20.72,17.34,31.14,35.72,8.43352273989492
"05019",10498,81.02,18.98,18.9,23.73,37.32,12.1213735244476
"05021",8018,80.33,19.67,10.9,28.8,30.54,12.5386055601749
"05023",16042,66.89,33.11,23.04,24.8,25.42,28.970647670445
"05025",4091,80.47,19.53,32.41,34.34,24.61,6.84364071152694
"05027",11636,77.02,22.98,17.57,28,31.25,15.1909866483234
"05029",9805,86.44,13.56,18.76,28.37,31.73,17.7545639676959
"05031",44778,91.12,8.88,6.46,16.81,42.54,63.3097363006669
"05033",26738,88.64,11.36,12.22,24.74,23.29,45.2272420934578
"05035",21746,86.25,13.75,8.18,19.57,42.04,35.6298962751468
"05037",7963,84.06,15.94,15.67,28.12,32.57,12.9189979012621
"05039",4306,70.44,29.56,25.36,31.68,32.08,6.45206525300516
"05041",6302,81.1,18.9,15.57,26.58,40.62,8.20432008442622
"05043",8598,81.62,18.38,30.18,29.44,31.75,10.3796334472805
"05045",49817,88.51,11.49,12.12,17.2,37.37,76.8856595875896
"05047",8063,84.34,15.66,15.47,25.14,27.53,13.2430593946284
"05049",6819,73.32,26.68,21.44,28.34,21.82,11.030593386398
"05051",50862,78.44,21.56,13.61,20.29,32.43,75.0488825108115
"05053",7981,84.95,15.05,26.39,31.14,20.1,12.6319897374964
"05055",18849,89.55,10.45,12.8,24.84,32.26,32.6284722631846
"05057",10510,75.84,24.16,18.63,24.21,31.34,14.4464041412831
"05059",14428,85.78,14.22,25.51,28.32,24.3,23.4523479792141
"05061",6263,81.37,18.63,15.65,28.16,31.48,10.641156480653
"05063",16465,86.66,13.34,18.37,24.78,27.87,21.552445988267
"05065",7274,69.41,30.59,18.5,25.23,20.9,12.5290052537395
"05067",7581,80.4,19.6,12.21,29.72,30.65,11.9589191221685
"05069",33367,80.85,19.15,12.41,27.99,37.55,38.3538528605026
"05071",11463,85.49,14.51,14.66,20.32,28.41,17.3711969006709
"05073",4381,65.26,34.74,26.07,29.82,23.36,8.29275083877918
"05075",8000,81.64,18.36,11.69,24.53,33.26,13.6147327846285
"05077",4364,76.81,23.19,13.98,37.84,42.3,7.24172996707136
"05079",4922,77.1,22.9,32.89,29.62,25.4,8.76488171889759
"05081",6510,83.56,16.44,20.71,28.76,27.68,12.2312374026793
"05083",10180,83.14,16.86,13.05,29.88,28.23,14.3761215842901
"05085",29076,92.41,7.59,14.95,18.77,31.12,37.7170101625108
"05087",7552,82.03,17.97,20.58,26.4,21.63,9.05244083872566
"05089",9436,70.68,29.32,20.05,27.92,21.13,15.8069268258699
"05091",19547,85.68,14.32,13.28,24.46,36.28,31.2389481149644
"05093",20594,82,18,8.42,24.1,43.6,22.867702290775
"05095",4455,74.66,25.34,11.6,27.95,40.05,7.33773580692993
"05097",5834,64.47,35.53,28.27,32.7,17.36,7.4808810110753
"05099",4587,72.01,27.99,26.6,33.45,31.94,7.4243107574776
"05101",4698,61.71,38.29,14.03,43.05,11.8,5.72295188970667
"05103",13077,76.89,23.11,13.43,31.57,31.83,17.8457519701275
"05105",4968,74.64,25.36,25.22,28.83,19.9,9.00716289576585
"05107",10197,73.53,26.47,7.72,25.49,51.8,14.6587567801065
"05109",5622,76.47,23.53,20.62,27.89,22.82,9.36027592015108
"05111",10967,86.05,13.95,12.23,25.36,36.53,14.4614935775895
"05113",10114,81.12,18.88,19.99,25.09,24.22,11.792321484583
"05115",26196,86.38,13.62,11.33,22.19,31.6,32.2405800361644
"05117",4531,84.44,15.56,25.07,28.42,27.99,6.99353580486056
"05119",183437,85.63,14.37,4.85,20.61,41.55,241.710818616087
"05121",8558,87.11,12.89,14.14,24.55,27.95,13.1213272536011
"05123",10971,84.94,15.06,17.54,26.81,42.9,17.2826027460367
"05125",48259,90.35,9.65,15.5,21.51,21.64,66.698149405054
"05127",5257,73.33,26.67,19.33,30.24,25.68,5.89149968240964
"05129",4924,66.43,33.57,18.48,36.01,22.38,7.39237785533939
"05131",56591,89.54,10.46,4.19,21.01,40.26,106.395551993194
"05133",6943,84.32,15.68,23.91,23.26,25.11,12.2857180886511
"05135",9874,74.48,25.52,14.2,23.99,24.22,16.3361870245519
"05137",6853,72.29,27.71,33.53,28.84,27.27,11.3010967849708
"05139",19911,79.88,20.12,21.66,27.4,25.25,19.159732201392
"05141",10436,65.66,34.34,24.13,22.01,23.25,14.7041854407574
"05143",92417,92.94,7.06,5.25,13.29,46.71,98.1062617396581
"05145",33684,86.88,13.12,18.28,20.43,33.45,32.5424742101307
"05147",3896,74.18,25.82,13.53,23.86,33.49,6.63978777752098
"05149",9866,75.93,24.07,12.74,21.88,29.74,10.6070800541461
"06001",601942,95.17,4.83,1.2,23.08,46.74,816.417784992741
"06003",1733,17.25,82.75,1.9,36.49,16.05,2.34716691869487
"06005",18278,77.09,22.91,7.2,26.49,23.36,30.7415986683171
"06007",98743,87.9,12.1,13.03,19.95,40.83,60.3392945176717
"06009",27988,62.23,37.77,7.39,25.03,22.34,27.4389124020584
"06011",8004,88.87,11.13,7.21,24.06,38.55,6.95571969507363
"06013",411338,95.37,4.63,1.69,23,34.35,573.630445420348
"06015",11373,86.16,13.84,19.41,21.64,37.6,11.3026617337148
"06017",89763,77.06,22.94,5.47,25.16,23.39,52.5595530480998
"06019",328577,92.71,7.29,3.81,19.21,47.17,55.1482176057076
"06021",10973,91.29,8.71,10.43,25.27,40.29,8.35108181166512
"06023",62826,86.38,13.62,8.86,24.81,43.15,17.6074075668247
"06025",57468,76.66,23.34,10.57,21.98,41.63,13.7596458672143
"06027",9540,84.73,15.27,21.84,23.89,36.78,0.93704958949777
"06029",295756,90.59,9.41,7.29,17.23,42,36.3684099949443
"06031",45792,93.32,6.68,4.23,19.42,48.25,32.9367138171798
"06033",35067,74.05,25.95,22.89,22,33.93,27.9082245283285
"06035",12758,74.41,25.59,12.98,27.03,32.11,2.80941166130912
"06037",3524321,93.81,6.19,1.6,26.83,54.19,868.449855968559
"06039",50362,88.87,11.13,6.19,21.41,36.04,23.5675872198743
"06041",112868,93.26,6.74,1.21,28.59,36.16,216.864357459544
"06043",10388,74.12,25.88,18.96,28.7,31.04,7.16991863808234
"06045",40909,83.33,16.67,9.84,28.29,40.82,11.6671437185473
"06047",84795,93.88,6.12,6.15,16.42,48.02,43.8072743793376
"06049",5263,69.54,30.46,9.69,30.16,23.42,1.3441695653751
"06051",14078,34.43,65.57,5.13,24.16,37.82,4.61729337126811
"06053",141155,89.3,10.7,4.65,22.33,48.94,43.0126971173504
"06055",55557,88.26,11.74,6.41,24.93,36.25,74.2436286981494
"06057",53654,76.24,23.76,6.35,28.11,25.66,56.0205474951464
"06059",1091376,94.59,5.41,2.77,24.57,42.63,1376.64785527927
"06061",161846,86.91,13.09,2.77,18.98,28.41,115.022976782801
"06063",15772,51.02,48.98,12.01,30.27,27.08,6.17770769926825
"06065",833602,86.17,13.83,8.81,16.45,34.24,115.673216152145
"06067",567220,94.5,5.5,2.35,18.34,44.02,587.524552738785
"06069",18614,95.3,4.7,4.58,22.01,36.51,13.4044321600711
"06071",716171,88.06,11.94,5.64,20.56,40.74,35.7017922676761
"06073",1204884,92.87,7.13,3.49,20.75,46.93,286.281068958747
"06075",393975,91.29,8.71,0.16,27.98,62.39,8406.9167859087
"06077",241055,94.06,5.94,3.38,16.44,44.38,173.124484396509
"06079",121095,86.97,13.03,7.95,22.77,39.24,36.6885352559737
"06081",276444,94.76,5.24,1.1,29.2,40.12,616.191236117048
"06083",156210,92.8,7.2,4.45,23.61,47.82,57.1125385956725
"06085",665365,95.52,4.48,2.86,23.86,43.25,515.355472830327
"06087",105894,90.43,9.57,5.72,29.19,40.61,237.898758655094
"06089",78535,89.73,10.27,11.86,23.04,36.54,20.8018883234144
"06091",2395,51.82,48.18,8.14,43.58,18.61,2.51268424723937
"06093",24102,79.9,20.1,12.58,26.93,34.4,3.83866905625217
"06095",156896,95.01,4.99,2.85,22.13,39.34,190.929552292396
"06097",207631,91.19,8.81,4.81,25.49,39.21,131.756820216441
"06099",181213,95.29,4.71,4.26,18.85,42.62,121.130970956455
"06101",34315,94.3,5.7,5.87,19.06,42.65,56.951746367252
"06103",27437,87.56,12.44,20.94,20.65,35.17,9.30344355031263
"06105",8850,65.49,34.51,24.63,22.69,33.26,2.7836728309555
"06107",147791,92.09,7.91,6.78,20.55,43.2,30.6343454893805
"06109",31487,71.23,28.77,9.31,25.61,30.19,14.1777129149114
"06111",287498,94.34,5.66,3.82,26.74,36.75,156.040394799637
"06113",77512,94.84,5.16,3.95,18.41,48.29,76.386994668756
"06115",28370,92.28,7.72,10.22,14.87,41.22,44.8883123717486
"08001",171038,96.09,3.91,6.37,15.67,34.79,146.656117329211
"08003",6936,88.71,11.29,16.05,22.04,44.29,9.59902090525382
"08005",248618,95.55,4.45,1.01,17.24,36.93,311.579654161791
"08007",9228,61.44,38.56,11.36,18.79,25.43,6.83514740156557
"08009",2254,72.85,27.15,11.4,35.07,28.26,0.882198373729816
"08011",2258,77.24,22.76,13.2,32.9,35.84,1.49255722025289
"08013",134326,93.72,6.28,2.95,19.1,37.97,184.928588133179
"08014",27647,96.65,3.35,2.69,14.78,33.68,837.701668142354
"08015",10875,73.18,26.82,9.76,22.67,23.31,10.731162268679
"08017",931,79.7,20.3,13.1,29.53,25.88,0.523543150600322
"08019",5771,80.4,19.6,6.39,25.86,23.53,14.6028211750242
"08021",4398,69.76,30.24,18.49,37.8,20.31,3.41610615776505
"08023",2817,59.89,40.11,19.49,37.51,29.52,2.29474428661817
"08025",1584,75.38,24.62,17.87,24.58,27.55,2.01162299009961
"08027",4464,46.66,53.34,5.96,27.66,14.69,6.04368366435639
"08029",14763,80.48,19.52,15.9,24.57,28.96,12.9259431195104
"08031",314045,93.73,6.27,0.37,15.46,50.37,2048.67998425801
"08033",1495,49.5,50.5,18.73,33.62,18.92,1.40090742179543
"08035",121541,96.61,3.39,0.35,13.59,20.99,144.649272050063
"08037",32154,55.2,44.8,5.36,16.66,29.4,19.0885656248411
"08039",9459,95.63,4.37,4.1,23,10.28,5.11068615770691
"08041",268622,94.33,5.67,3.07,16.56,36.24,126.301256468828
"08043",19715,87.06,12.94,13.81,21.08,24.98,12.8597748995844
"08045",23875,88.54,11.46,10.06,12.66,33.13,8.09999940717351
"08047",3673,72.23,27.77,2.29,23.01,19.07,24.5037597578299
"08049",16623,35.03,64.97,6.18,20.63,31.15,9.00276551433623
"08051",11854,56.04,43.96,5.68,15.85,38.91,3.65962841167092
"08053",1469,26.34,73.66,7.42,18.4,28.42,1.31486417446442
"08055",5229,62.77,37.23,10.84,23.39,28.34,3.28655929761783
"08057",1315,43.73,56.27,16.05,36.47,28.7,0.814888226608934
"08059",238711,96.41,3.59,1.04,24.31,29.6,312.331935420845
"08061",785,75.54,24.46,13.63,28.12,25.3,0.444054604186557
"08063",3548,83.91,16.09,13.3,30.34,31.17,1.64197564865374
"08065",4800,69.85,30.15,13.75,19.39,37.82,12.7348882373732
"08067",27442,79.41,20.59,13.29,21.05,29.44,16.2400142827752
"08069",145672,91.66,8.34,3.84,16.18,35.41,56.1192947140684
"08071",8544,75.81,24.19,10.77,28.02,31.05,1.7901006233283
"08073",2046,74.29,25.71,17.06,32.02,31.58,0.793740870280474
"08075",9098,89.94,10.06,9.44,26.05,38.24,4.94835727722916
"08077",65878,92.65,7.35,10.3,15.99,32.77,19.7896094932906
"08079",1324,28.32,71.68,6.27,31.76,11.2,1.5118359377663
"08081",6282,82.94,17.06,19.45,24.66,31.98,1.32441631250194
"08083",12313,86.21,13.79,18.94,25.06,28.91,6.06755165012173
"08085",18857,90.82,9.18,17.37,20.31,29.28,8.41478837973821
"08087",11718,92.04,7.96,11.98,20.06,35.7,9.15126043136366
"08089",9004,85.42,14.58,6.46,26.67,37.8,7.13504642225283
"08091",3208,68.39,31.61,9.91,19.23,31.63,5.92329457146975
"08093",14449,49.27,50.73,3.97,24.88,16.27,6.58601111567712
"08095",1915,87.1,12.9,8.04,24.42,29.68,2.78373490274502
"08097",13794,50.88,49.12,4.24,23.32,35.48,14.210409415756
"08099",5976,83.05,16.95,12.83,27.47,36.19,3.64748443429942
"08101",70928,89.9,10.1,5.83,22.82,35.69,29.7258887412735
"08103",3382,71.05,28.95,8.13,24.24,30.05,1.04999894583912
"08105",6770,66.53,33.47,12.26,27.02,33.79,7.42363501796129
"08107",16694,57.22,42.78,5.87,18.57,29.55,7.06771290338921
"08109",4079,64.84,35.16,21.26,25.93,25.07,1.28733913381434
"08111",743,35.8,64.2,3.5,32.9,33.08,1.91735131310562
"08113",6838,50.32,49.68,2.21,17.01,39.52,5.31428538735153
"08115",1261,80.65,19.35,7.77,30.99,28.42,2.30093418566227
"08117",30911,31.4,68.6,1.11,17.47,33.9,50.8123654558962
"08119",13126,77.58,22.42,9.4,21.74,19.06,23.5638270224262
"08121",2406,84.37,15.63,7.69,28.45,32.02,0.955492886098832
"08123",106198,96.14,3.86,7.28,14.07,27.38,26.6426879418811
"08125",4525,89.52,10.48,11.87,28.98,36.78,1.91381493332469
"09001",370999,91.78,8.22,0.35,28.21,32.69,593.634548722617
"09003",378700,92.17,7.83,0.55,28.6,35.51,515.266814464221
"09005",88153,83.93,16.07,0.33,37.79,22.85,95.7655495081602
"09007",76124,87.87,12.13,1.08,32.55,26.36,206.129061664526
"09009",366266,90.06,9.94,0.53,29.96,38.07,605.886177603567
"09011",123001,87.32,12.68,2.56,30.72,33.47,184.924535080036
"09013",59418,92.95,7.05,1.2,34.5,27.94,144.798211132628
"09015",49644,89.54,10.46,2.92,31.68,30.35,96.7858813068085
"10001",70576,91.45,8.55,12.33,20.45,30.97,120.477174207066
"10003",222146,91.77,8.23,2.06,27.21,31.98,521.087005498236
"10005",135529,65.94,34.06,16.28,23.75,20.45,144.777805261392
"11001",311545,90.3,9.7,0.07,21.43,58.21,5095.99316323527
"12001",116289,83.45,16.55,8.22,18.83,45.19,132.897318837006
"12003",9903,87.09,12.91,37.07,22.9,24.36,16.92162736559
"12005",102266,68.64,31.36,12.84,20.24,36.54,134.821780570401
"12007",11020,81.61,18.39,32.86,28.11,31.41,37.4878122219149
"12009",276294,82.84,17.16,7.66,22.81,27.12,272.163557891425
"12011",821088,83.07,16.93,2.81,20.23,37.94,682.477539961252
"12013",6012,75.78,24.22,38.44,36.3,17.6,10.5969674760009
"12015",103372,73.67,26.33,11.45,19.95,20.49,151.771305305554
"12017",79115,79.33,20.67,22.71,21.49,18.55,135.957867048945
"12019",79765,92.02,7.98,12.93,18.6,26.29,131.891348891305
"12021",210825,66.85,33.15,5.07,16.65,27.33,105.607579033556
"12023",28893,86.47,13.53,36.51,24.1,26.64,36.2273450525893
"12027",15102,79.43,20.57,29.31,18.77,30.12,23.7195430006019
"12029",9413,69.27,30.73,49.98,34.72,22.84,13.3498505527247
"12031",403548,87.82,12.18,4.7,20.13,43.31,528.943628022004
"12033",140523,84.5,15.5,7.1,24.26,38.86,213.896591932921
"12035",50961,79.73,20.27,4.74,14.97,24.2,105.043306449941
"12037",8675,49.53,50.47,21.37,26.24,24.34,15.9133908565084
"12039",19866,85.98,14.02,29.19,33.86,28.96,38.4782785908019
"12041",7486,86.98,13.02,50.63,33.25,16.43,21.4073331317741
"12043",7013,63.21,36.79,51.42,21.55,20.55,8.69437165316823
"12045",9460,56.65,43.35,20.36,25.55,24.67,17.0937534722973
"12047",5805,77.26,22.74,43.38,34.37,29.99,11.2986156748007
"12049",9730,79.88,20.12,28.39,28.06,33.83,15.2608523040826
"12051",14728,81.66,18.34,39.69,21.08,33.79,12.7380198933956
"12053",86209,85.31,14.69,16.81,18.23,22.22,182.347101127548
"12055",55578,73.82,26.18,25.48,20.48,24.65,54.6336418695783
"12057",571869,90.31,9.69,7.05,17.12,41.95,559.644364249421
"12059",8687,80.76,19.24,33.12,30.24,23.5,18.141213506535
"12061",79216,72.46,27.54,7.75,19.52,21.89,157.555551680415
"12063",21058,80.23,19.77,29.84,30.05,28.69,22.9346938693931
"12065",6694,86.21,13.79,36.78,37.62,22.27,11.1925855318669
"12067",3181,65.86,34.14,45.99,33.86,21.1,5.85420250556334
"12069",153983,84.55,15.45,19.13,15.71,25.68,161.969128455826
"12071",388044,70.06,29.94,9.48,13.73,29.39,496.211761543687
"12073",128876,87.62,12.38,7.92,18.8,46.94,193.267061586931
"12075",20424,80.46,19.54,49.23,23.78,22.81,18.2646082184228
"12077",3586,66.4,33.6,46.82,30.97,24.7,4.2917350827613
"12079",8581,77.87,22.13,41.18,34.63,23.11,12.3197182401432
"12081",187302,76.7,23.3,15.66,16.46,28.41,252.044811307571
"12083",167450,81.53,18.47,20.75,19.82,24.16,105.420566635805
"12085",79801,80.03,19.97,9.72,21.46,21.86,146.751651831449
"12086",1016653,85.58,14.42,1.29,22.8,48.39,535.434533628843
"12087",53423,57.99,42.01,12.82,21.85,40.4,54.3456597116355
"12089",37991,82.23,17.77,18.24,19.63,21.52,58.5668558035398
"12091",96376,80.31,19.69,5.4,21.84,37,103.604600501784
"12093",18640,73.81,26.19,37.38,23.96,28.24,24.2439183327178
"12095",526428,87.12,12.88,3.75,15.46,45.33,583.277007259628
"12097",144054,68.83,31.17,7.76,10.21,38.89,108.498500142024
"12099",682671,80.3,19.7,2.78,19.45,31.39,347.306889560301
"12101",240220,82.94,17.06,19.48,16.47,27.99,321.723895819546
"12103",507692,80.31,19.69,9.26,23.82,34.26,1854.59795052698
"12105",291796,79.25,20.75,21.29,19,31.47,162.365766681738
"12107",37284,75.81,24.19,43.39,26.4,26.97,51.2238735643907
"12109",103522,83.33,16.67,7.23,16.28,21.5,172.332442187551
"12111",139960,80.65,19.35,8.47,17.04,26.81,244.821525702499
"12113",70389,87.15,12.85,10.89,18.92,24.58,69.5286003223036
"12115",237131,76.14,23.86,9.2,19.73,26.21,425.831370862309
"12117",188529,88.74,11.26,2.82,21.03,34.81,609.338564827793
"12119",69130,79.03,20.97,15.67,12.66,10.24,124.086776826167
"12121",19264,78.3,21.7,51.76,22.95,28.12,27.9776714969307
"12123",11074,66.43,33.57,32.13,32.19,18.5,10.6142644813656
"12125",4567,85.22,14.78,46.51,22.73,30.88,18.7514278537627
"12127",259323,82.13,17.87,8.73,21.99,29.89,235.483150037494
"12129",13319,83.1,16.9,27.58,23.49,19.34,21.9634895271746
"12131",50699,52.14,47.86,13.58,19.21,26.03,48.8553251294286
"12133",10863,78.1,21.9,38.36,27.89,22.55,18.5795906675637
"13001",8543,78.22,21.78,37.16,32.48,26.95,16.8079450105499
"13003",3508,79.39,20.61,45.18,33.64,24.85,10.2358533151023
"13005",4791,82.78,17.22,35.55,29.83,31.64,16.8647642796201
"13007",1889,73.32,26.68,38.54,40.46,32.2,5.52410661397613
"13009",20487,78.69,21.31,20,29.05,44.14,79.1927592755799
"13011",7682,85.95,14.05,29.95,29.83,24.19,33.1042246724445
"13013",27914,90.7,9.3,8.04,17.17,27.3,173.34052085195
"13015",40694,91.79,8.21,11.83,22.67,33.99,88.55778368948
"13017",7978,82.34,17.66,23.61,23.09,40.55,31.8965621624356
"13019",8767,83.52,16.48,34.16,27.27,33.13,19.3372159159558
"13021",70205,82.63,17.37,3.01,23.41,47.4,281.498651295192
"13023",5318,78.38,21.62,23.2,32.81,28.41,24.6353084104298
"13025",8119,80.85,19.15,54.82,28.68,19.7,18.326871574895
"13027",7777,81.65,18.35,28.64,32.78,25.23,15.7718980890908
