ZCTA,bupTime,bupCount,metTime,metCount,nalTime,nalCount
1001,8,233,8,8,8,27
1002,0,98,18,4,18,14
1003,0,129,20,5,20,15
1005,0,25,32,0,16,4
1007,0,91,25,2,18,17
1008,18,10,18,1,18,3
1009,7,146,29,1,7,18
1010,12,39,17,1,15,12
1011,34,0,34,0,34,0
1012,18,49,25,2,13,4
1013,9,264,0,10,8,32
1020,8,274,8,10,0,32
1022,9,261,11,9,8,30
1026,13,10,37,0,13,2
1027,0,257,9,9,9,26
1028,0,248,6,8,0,33
1029,27,11,27,1,27,3
1030,11,229,12,8,11,27
1031,9,33,40,0,13,8
1032,20,46,26,2,20,4
1033,0,251,13,8,13,28
1034,28,11,28,1,28,3
1035,0,92,13,4,13,9
1036,12,201,16,5,12,23
1037,0,24,48,0,22,3
1038,0,127,13,5,13,15
1039,9,45,15,2,9,3
1040,0,292,0,10,0,33
1050,23,51,23,3,20,6
1053,0,88,8,4,0,9
1054,0,77,26,3,26,7
1056,0,250,15,8,6,31
1057,11,113,26,3,11,24
1060,0,282,0,10,0,30
1062,0,88,8,4,7,9
1063,1,287,1,10,1,31
1066,9,126,14,5,14,15
1068,20,25,31,0,23,2
1069,0,232,25,7,0,34
1070,0,8,38,0,0,2
1071,16,47,16,1,16,5
1072,13,19,35,0,31,0
1073,0,231,15,9,15,24
1074,7,35,34,0,20,6
1075,0,280,7,9,7,31
1077,10,226,13,7,13,27
1079,4,191,28,5,4,26
1080,6,233,24,6,6,28
1081,16,26,24,1,21,9
1082,0,31,41,0,0,7
1083,5,37,25,1,16,12
1084,23,22,34,0,13,3
1085,0,244,0,9,0,26
1086,6,202,6,7,6,23
1088,9,127,11,5,11,15
1089,0,265,7,10,0,32
1092,0,44,29,1,12,13
1093,10,127,18,5,13,15
1094,10,24,41,0,22,4
1095,0,226,14,7,11,28
1096,16,42,21,2,16,3
1097,9,181,9,5,9,21
1098,27,8,38,0,0,2
1103,0,280,1,12,0,37
1104,0,268,3,10,4,32
1105,0,280,0,12,1,37
1106,0,268,7,11,7,37
1107,0,269,0,10,2,32
1108,0,274,0,10,4,33
1109,0,273,4,10,0,33
1118,0,255,3,8,0,33
1119,0,237,11,8,7,31
1128,5,247,8,8,5,33
1129,6,242,11,8,7,32
1151,0,265,10,10,0,32
1199,1,269,1,10,3,32
1201,0,59,0,1,0,8
1220,11,72,11,2,11,14
1222,7,13,42,0,12,4
1223,24,3,37,0,37,0
1224,11,64,14,2,14,13
1225,19,62,20,2,20,13
1226,0,59,10,1,10,8
1229,11,64,28,1,16,10
1230,0,14,39,0,0,4
1235,11,56,21,1,21,9
1236,10,10,34,0,10,2
1237,15,60,15,1,15,8
1238,0,66,21,1,21,10
1240,0,66,13,1,13,10
1242,5,66,18,1,18,10
1243,29,2,38,0,36,0
1244,20,11,44,0,23,4
1245,17,8,44,0,17,2
1247,0,9,0,1,0,5
1253,26,8,35,0,30,2
1254,15,66,20,1,20,10
1255,31,0,37,0,31,0
1256,18,16,30,1,18,6
1257,10,13,44,0,14,4
1258,24,7,61,0,24,2
1259,19,4,48,0,19,2
1260,10,64,27,1,16,10
1262,11,64,27,1,16,10
1264,14,10,35,0,27,2
1266,13,64,27,1,19,10
1267,0,18,14,1,14,6
1270,12,64,22,1,20,10
1301,0,83,0,4,0,10
1330,15,24,31,0,15,3
1331,0,20,28,3,0,8
1337,14,56,14,2,14,9
1338,16,10,34,0,24,1
1339,17,11,36,0,26,1
1340,11,40,23,1,23,6
1341,18,79,27,3,27,8
1342,10,92,10,3,10,8
1343,20,7,23,1,23,5
1344,15,53,19,1,19,9
1346,22,3,42,0,42,0
1347,11,58,18,1,18,6
1349,13,60,15,1,15,6
1350,14,7,27,1,27,5
1351,11,82,16,3,16,7
1354,10,43,10,1,10,6
1355,13,27,38,0,16,3
1360,19,59,19,2,19,9
1364,0,13,34,0,12,3
1366,0,32,32,0,0,4
1367,0,1,38,0,38,0
1368,14,20,31,0,14,4
1370,0,41,18,1,18,6
1373,5,127,15,5,15,15
1375,0,100,19,3,19,8
1376,10,48,10,1,10,6
1378,13,11,32,0,24,3
1379,19,12,31,0,30,3
1420,0,44,0,5,0,16
1430,15,22,16,4,15,12
1431,15,34,15,5,0,15
1432,0,101,21,3,21,21
1434,0,54,16,5,16,17
1436,0,34,20,3,11,8
1438,7,58,14,5,7,17
1440,0,55,11,5,0,19
1450,11,87,26,2,25,16
1451,0,78,20,3,20,15
1452,15,31,19,3,15,9
1453,0,153,0,7,0,26
1460,10,183,17,5,13,32
1462,12,37,12,5,12,14
1463,16,50,29,1,20,7
1464,0,37,17,5,17,12
1467,7,73,22,5,20,16
1468,9,58,16,5,9,17
1469,21,34,21,2,15,10
1473,0,48,0,5,0,18
1474,19,31,19,2,10,10
1475,11,33,19,3,14,10
1501,0,195,7,10,6,29
1503,8,245,17,11,10,34
1504,6,295,6,14,6,41
1505,0,193,9,9,9,24
1506,8,34,21,3,9,16
1507,0,167,12,6,12,24
1510,8,208,19,9,19,29
1515,12,126,19,4,0,23
1516,0,223,18,7,18,24
1518,6,62,11,1,11,12
1519,10,188,10,9,16,22
1520,0,182,11,9,11,23
1521,13,24,18,1,18,10
1522,13,152,22,4,22,17
1523,9,175,12,10,12,28
1524,8,183,8,9,8,27
1525,7,218,19,10,20,25
1527,0,231,0,10,7,27
1529,14,191,15,5,15,20
1531,12,24,36,0,19,4
1532,0,213,9,10,0,27
1534,9,186,14,9,19,24
1535,10,46,28,3,9,16
1536,9,200,11,9,10,24
1537,7,189,12,10,12,29
1540,9,188,17,7,9,30
1541,0,204,16,9,0,30
1542,10,181,10,6,10,25
1543,12,170,21,4,17,19
1545,0,207,11,10,11,28
1550,0,67,0,4,0,20
1560,9,200,9,9,16,24
1561,10,167,19,4,19,21
1562,15,171,15,6,8,22
1564,0,198,12,9,12,31
1566,0,105,6,4,6,19
1568,11,247,13,11,13,30
1569,0,241,18,7,18,23
1570,0,182,15,7,0,30
1571,0,72,19,5,8,19
1581,0,222,0,10,0,29
1583,0,204,11,13,11,32
1585,0,44,27,1,12,12
1588,0,225,15,10,21,26
1590,9,218,9,9,15,23
1602,0,182,5,8,0,23
1603,0,203,0,9,0,28
1604,0,190,7,8,0,22
1605,0,196,0,9,0,26
1606,0,195,5,9,5,25
1607,4,194,7,8,4,23
1608,0,208,4,9,2,26
1609,0,196,0,9,0,26
1610,0,204,3,9,0,28
1611,5,182,5,9,5,27
1612,8,182,12,8,8,21
1701,0,199,7,7,0,30
1702,0,267,0,8,0,34
1718,11,154,20,5,11,23
1719,12,121,27,2,13,18
1720,8,268,23,6,9,36
1721,9,128,9,5,9,16
1730,0,585,15,10,0,55
1731,7,909,13,14,10,62
1740,0,289,21,12,11,46
1741,0,250,17,6,10,39
1742,0,359,18,6,0,37
1745,3,340,11,13,11,47
1746,0,134,15,6,15,17
1747,4,106,4,7,4,14
1748,11,274,12,8,12,26
1749,7,250,19,10,9,35
1752,0,246,15,9,10,29
1754,0,204,23,4,7,26
1756,0,86,10,6,10,10
1757,0,108,0,7,0,14
1760,0,666,10,12,0,49
1770,0,212,11,4,10,26
1772,0,288,10,10,10,33
1773,0,972,10,13,10,67
1775,6,151,28,5,0,19
1776,0,170,17,3,12,21
1778,0,684,13,13,7,54
1801,0,1281,0,23,0,110
1803,0,1172,6,23,0,95
1810,0,318,12,12,8,40
1821,0,367,11,8,9,42
1824,0,275,8,7,0,36
1826,7,219,9,5,7,26
1827,12,100,21,2,14,14
1830,0,170,0,4,0,18
1832,5,196,5,5,5,23
1833,0,230,16,8,16,20
1834,7,151,7,7,7,16
1835,5,171,5,8,5,23
1840,0,233,3,7,0,31
1841,0,230,0,7,2,31
1843,0,261,4,10,0,37
1844,0,227,6,7,6,31
1845,0,242,11,11,9,35
1850,5,252,6,7,5,33
1851,0,264,0,6,0,33
1852,0,260,5,7,0,34
1854,0,250,4,6,0,30
1860,9,165,10,2,10,14
1862,0,338,10,7,9,40
1863,7,242,7,6,7,29
1864,0,626,19,14,14,49
1867,0,1238,11,23,6,102
1876,0,288,0,7,0,34
1879,0,167,12,4,12,26
1880,0,1158,9,22,5,89
1886,12,218,15,5,12,29
1887,0,998,9,21,0,79
1890,0,1168,6,23,6,116
1901,0,1064,3,18,0,85
1902,0,1047,4,18,0,84
1904,0,999,4,18,0,74
1905,0,1066,0,18,0,85
1906,4,1118,0,19,0,96
1907,0,941,8,16,5,63
1908,0,861,10,15,8,52
1913,0,165,14,2,14,14
1915,0,276,8,10,7,31
1921,0,222,19,8,19,19
1922,0,87,21,6,21,10
1923,0,503,0,11,0,40
1929,7,170,11,6,11,20
1930,0,99,0,6,0,9
1937,4,556,7,12,7,42
1938,0,113,23,6,23,9
1940,0,994,11,19,0,70
1944,10,171,10,7,10,21
1945,0,781,13,12,8,40
1949,0,417,9,12,9,40
1950,0,69,21,5,21,12
1951,6,33,27,1,27,3
1952,10,61,21,1,21,7
1960,0,660,0,15,0,45
1966,9,31,9,5,9,7
1969,0,137,20,6,20,11
1970,0,818,10,14,0,48
1982,0,185,13,8,13,22
1983,10,354,10,12,10,37
1984,4,197,11,8,11,23
1985,12,130,15,6,15,15
2019,9,334,10,16,9,47
2021,0,959,6,13,0,92
2025,0,119,18,4,11,27
2026,0,1131,16,18,7,110
2030,11,456,23,7,16,54
2032,5,566,17,7,5,77
2035,0,358,19,10,12,56
2038,0,171,17,6,0,20
2043,0,418,10,8,7,60
2045,11,116,19,4,0,26
2047,8,76,28,3,19,11
2048,0,242,21,7,8,45
2050,0,102,27,3,20,19
2052,7,212,20,3,8,29
2053,7,151,14,6,9,18
2054,0,168,20,3,9,19
2056,0,169,26,4,0,27
2061,0,231,14,5,0,49
2062,0,893,14,14,0,104
2066,10,77,25,3,14,13
2067,0,290,11,5,11,56
2071,0,209,21,3,7,43
2072,0,729,0,12,0,83
2081,0,323,19,4,0,54
2090,4,1020,17,15,4,102
2093,12,164,22,5,12,27
2108,2,1220,3,23,2,113
2109,0,1210,6,23,3,108
2110,0,1221,3,23,0,113
2111,0,1225,3,24,1,119
2113,0,1212,3,23,2,113
2114,0,1199,0,19,0,107
2115,0,1219,3,19,0,115
2116,0,1226,2,20,0,115
2118,0,1212,0,19,0,114
2119,0,1141,0,19,0,111
2120,0,1204,3,19,0,113
2121,0,1206,3,20,3,123
2122,0,1200,7,20,0,125
2124,0,1196,7,20,0,125
2125,0,1260,5,20,0,126
2126,0,1203,7,20,0,125
2127,0,1203,5,19,0,114
2128,0,1218,4,23,0,110
2129,0,1210,5,23,4,111
2130,0,1138,5,19,0,111
2131,0,1132,9,19,0,109
2132,0,1130,13,18,0,107
2134,0,1179,4,19,0,112
2135,0,1126,0,16,0,105
2136,6,1125,11,17,6,107
2138,0,1091,5,15,7,99
2139,0,1236,6,19,5,113
2140,0,1096,0,15,4,98
2141,0,1228,5,23,5,116
2142,2,1214,4,23,4,113
2143,0,1195,6,18,6,105
2144,0,1172,3,18,0,102
2145,4,1224,7,25,6,113
2148,0,1179,7,22,3,106
2149,0,1188,4,23,0,106
2150,0,1211,0,23,4,107
2151,0,1146,4,20,6,100
2152,7,1102,10,19,7,95
2155,0,1215,6,23,4,115
2163,4,1233,6,19,4,112
2169,0,1091,0,17,0,108
2170,3,1175,4,19,3,122
2171,0,1186,6,20,0,125
2176,0,1172,7,22,6,106
2180,0,1295,6,23,0,116
2184,0,903,5,13,0,89
2186,0,1129,11,17,5,108
2188,0,957,0,13,0,90
2189,0,855,5,12,0,83
2190,0,892,0,12,0,89
2191,6,874,6,12,6,89
2199,0,1101,9,17,7,101
2203,0,1221,2,23,1,113
2210,0,1104,10,15,6,93
2215,0,1226,2,18,0,112
2301,0,336,0,8,0,67
2302,0,296,4,8,0,61
2322,8,668,9,12,8,83
2324,0,174,17,6,16,32
2330,16,74,29,3,20,16
2332,0,103,27,3,20,19
2333,0,186,17,7,15,36
2338,13,166,29,3,20,28
2339,0,231,14,6,0,54
2341,10,150,20,5,12,31
2343,7,816,7,11,7,82
2346,0,136,21,3,21,26
2347,0,158,21,6,21,22
2351,0,265,8,6,0,59
2356,0,235,11,6,11,41
2357,10,235,11,7,11,45
2359,0,171,25,4,13,32
2360,0,42,24,1,0,10
2364,13,54,31,0,17,11
2366,0,28,39,0,18,8
2367,15,58,28,2,24,13
2368,0,983,10,14,0,96
2370,7,239,10,6,7,56
2375,0,179,16,4,14,34
2379,9,196,11,7,10,35
2382,7,214,11,6,7,46
2420,0,1036,11,18,10,78
2421,0,1066,7,18,7,92
2445,0,1154,3,19,3,110
2446,0,1153,0,18,0,105
2451,0,1023,0,13,0,78
2452,0,1023,4,14,4,79
2453,0,1051,5,13,5,82
2457,6,963,18,12,7,80
2458,0,1120,6,16,4,103
2459,0,1081,9,16,9,101
2460,0,1111,7,16,4,100
2461,0,1082,9,16,7,101
2462,0,1088,12,15,5,100
2464,4,1072,12,15,7,100
2465,0,1077,8,16,8,95
2466,0,1061,9,15,7,91
2467,0,1080,8,17,8,103
2468,0,1083,10,15,6,100
2472,0,1124,3,16,0,102
2474,0,1106,6,17,0,100
2476,0,1077,5,15,3,90
2478,0,1129,0,16,0,103
2481,0,979,16,12,0,71
2482,0,971,14,15,5,81
2492,0,1102,15,16,9,106
2493,0,1014,10,13,10,77
2494,0,1079,13,15,7,99
2532,0,66,0,1,0,19
2534,6,39,17,1,0,13
2535,18,11,104,0,23,1
2536,0,26,29,1,0,11
2537,8,77,21,2,15,21
2538,9,55,14,1,9,14
2539,0,11,94,0,17,1
2540,0,23,26,1,0,9
2542,12,37,16,1,8,11
2543,11,20,36,0,11,7
2553,12,39,12,1,8,11
2554,0,3,150,0,145,0
2556,0,38,20,1,6,13
2557,0,11,85,0,7,1
2558,6,58,8,1,6,16
2559,11,37,14,1,7,11
2561,4,87,11,1,11,24
2562,0,86,11,1,11,24
2563,0,76,22,2,16,20
2564,15,3,162,0,157,0
2568,0,11,82,0,0,1
2571,0,97,13,4,0,16
2575,0,11,89,0,8,1
2576,7,80,19,4,7,13
2584,12,3,160,0,155,0
2601,0,45,13,1,0,9
2630,8,45,13,1,10,9
2631,12,7,21,1,31,0
2632,0,51,17,1,0,11
2633,10,7,24,1,34,0
2635,6,52,27,1,6,13
2637,4,45,10,1,11,9
2638,7,34,12,1,20,6
2639,0,34,8,1,20,6
2641,10,34,14,1,23,6
2642,13,8,36,0,44,0
2643,21,8,35,0,43,0
2644,8,79,24,1,9,23
2645,0,34,15,1,25,6
2646,0,32,15,1,28,4
2647,5,44,14,1,5,9
2648,11,52,25,1,11,13
2649,0,55,29,2,0,15
2650,9,7,23,1,34,0
2651,10,5,42,0,50,0
2652,12,7,60,0,68,0
2653,14,12,28,1,37,0
2655,7,53,22,1,7,13
2657,0,7,70,0,78,0
2659,7,7,19,1,31,0
2660,7,34,8,1,19,6
2663,0,7,49,0,57,0
2664,0,44,0,1,13,9
2666,11,7,56,0,65,0
2667,0,7,47,0,55,0
2668,10,53,18,2,10,12
2669,10,7,21,1,33,0
2670,4,34,4,1,16,6
2671,3,34,11,1,23,6
2672,6,50,15,1,6,10
2673,5,44,5,1,8,9
2675,0,44,6,1,13,9
2702,12,244,12,10,12,34
2703,0,372,16,14,0,48
2713,310,0,310,0,310,0
2715,0,152,16,6,16,13
2717,7,162,13,9,11,22
2718,11,228,11,9,11,31
2719,5,158,5,7,5,20
2720,0,335,0,17,0,45
2721,0,345,0,20,0,50
2723,4,345,4,19,4,48
2724,0,345,0,20,0,50
2725,0,392,7,20,7,53
2726,8,298,12,13,12,37
2738,0,95,21,4,9,15
2739,0,158,11,8,11,22
2740,0,160,0,7,0,20
2743,8,157,13,7,9,20
2744,0,158,0,7,0,20
2745,0,177,9,9,5,24
2746,0,173,4,9,0,24
2747,0,158,8,7,0,20
2748,0,143,8,7,8,18
2760,11,354,19,15,11,51
2762,14,317,25,12,16,51
2763,8,345,20,15,8,54
2764,9,298,11,14,11,39
2766,0,318,13,10,0,53
2767,0,203,10,8,10,35
2769,11,372,17,18,17,51
2770,18,21,31,0,24,3
2771,0,433,12,19,11,55
2777,0,431,10,21,10,61
2779,13,106,13,6,13,12
2780,0,298,0,9,0,45
2790,0,144,16,7,14,18
2791,14,143,22,7,20,18
2802,4,381,9,14,9,48
2804,12,15,12,1,11,10
2806,0,343,16,16,7,46
2807,74,0,74,0,74,0
2808,13,26,13,2,12,12
2809,0,239,21,13,18,32
2812,21,16,28,2,14,8
2813,19,16,19,2,19,8
2814,11,249,21,11,12,39
2815,9,154,22,4,22,21
2816,0,237,13,10,0,33
2817,16,76,22,3,16,11
2818,0,265,12,13,12,40
2822,0,56,0,2,0,9
2825,0,130,22,3,16,19
2826,12,235,17,11,17,31
2827,17,28,33,0,18,6
2828,8,352,9,13,0,46
2830,8,167,18,5,18,18
2831,12,225,19,8,12,26
2832,20,63,21,3,6,18
2833,18,14,18,1,16,10
2835,12,52,12,5,12,11
2836,15,29,21,3,19,11
2837,23,49,27,2,27,5
2838,5,398,5,15,5,49
2839,10,125,20,6,16,16
2840,0,15,0,2,0,4
2841,8,16,8,2,8,4
2842,8,47,0,4,0,6
2852,0,110,20,7,13,21
2857,0,330,9,13,9,46
2858,9,214,17,8,16,25
2859,0,115,25,5,18,17
2860,0,366,0,13,0,44
2861,8,454,10,19,8,57
2863,6,371,8,13,8,45
2864,0,339,14,12,12,43
2865,0,374,10,13,7,45
2871,14,111,13,6,13,14
2872,38,0,52,0,50,0
2873,19,14,26,2,10,12
2874,0,73,13,5,0,12
2875,19,18,25,2,18,9
2876,12,286,12,14,12,40
2878,0,162,10,8,10,21
2879,0,24,0,2,0,8
2881,11,33,11,3,11,7
2882,7,35,7,3,7,8
2885,6,411,13,19,10,57
2886,0,293,0,13,0,41
2888,0,344,6,13,9,44
2889,0,289,7,12,7,38
2891,0,47,0,3,0,21
2892,0,22,24,2,19,6
2893,0,285,7,13,0,41
2894,20,21,20,2,16,9
2895,0,332,0,14,0,44
2896,0,247,11,11,11,32
2898,19,58,24,3,0,15
2903,0,452,4,19,0,56
2904,0,412,5,15,0,47
2905,0,408,0,17,3,51
2906,0,451,5,19,0,56
2907,0,424,0,17,0,52
2908,0,442,0,17,0,52
2909,0,425,0,17,0,52
2910,0,344,0,13,0,44
2911,0,375,4,13,0,45
2912,3,451,4,19,3,56
2914,0,443,0,19,0,56
2915,0,409,12,19,0,54
2916,6,443,9,19,6,55
2917,0,350,11,13,8,43
2919,0,355,0,13,0,46
2920,0,347,7,13,0,45
2921,0,316,13,13,10,40
3031,0,68,27,2,18,6
3032,17,78,18,2,17,8
3033,13,40,30,1,24,8
3034,15,67,20,2,19,6
3036,16,29,31,0,18,4
3037,22,2,37,0,36,0
3038,0,79,24,3,0,10
3042,13,27,34,0,33,0
3043,21,4,42,0,21,1
3044,9,27,29,1,29,3
3045,0,68,14,2,14,6
3046,18,60,25,2,25,8
3047,21,3,51,0,21,1
3048,27,13,27,1,16,7
3049,0,50,25,1,21,7
3051,0,112,0,2,0,19
3052,0,108,18,3,13,13
3053,0,118,17,3,0,13
3054,0,114,26,3,0,13
3055,11,57,32,0,28,5
3057,11,31,33,0,29,2
3060,0,126,10,4,0,21
3062,0,102,17,2,0,16
3063,0,119,16,4,12,14
3064,0,137,10,4,7,17
3070,15,68,26,2,26,6
3071,19,2,32,0,19,2
3076,14,208,16,6,14,28
3077,0,77,24,2,23,6
3079,0,202,14,7,0,27
3082,28,1,49,0,36,0
3084,21,2,34,0,23,3
3086,18,22,37,0,26,2
3087,13,208,13,6,13,29
3101,0,124,0,3,0,16
3102,0,123,5,3,5,15
3103,0,124,0,3,0,16
3104,0,112,6,3,0,14
3106,12,105,14,3,12,14
3109,0,73,8,2,8,8
3110,0,90,11,2,11,9
3215,32,0,59,0,32,0
3216,16,9,23,1,36,0
3217,16,7,33,0,16,2
3218,30,33,30,1,30,6
3220,0,24,24,1,37,0
3221,28,4,46,0,39,0
3222,21,2,33,0,0,1
3223,12,5,39,0,12,1
3224,0,40,23,2,23,6
3225,40,0,40,0,40,0
3226,8,21,42,0,28,1
3227,21,2,59,0,38,0
3229,0,35,20,1,20,6
3230,21,5,38,0,21,1
3231,16,9,16,1,37,0
3233,8,5,37,0,23,1
3234,21,33,21,1,21,6
3235,0,59,0,2,29,6
3237,15,23,28,1,37,0
3238,24,2,36,0,36,0
3240,32,0,47,0,32,0
3241,29,4,54,0,24,2
3242,13,37,28,1,26,7
3243,21,6,21,1,19,1
3244,0,4,38,0,18,1
3245,13,6,40,0,13,1
3246,0,25,25,1,39,0
3249,0,25,28,1,42,0
3251,33,0,57,0,35,0
3253,0,20,35,0,30,1
3254,0,1,70,0,57,0
3255,24,3,55,0,33,0
3256,0,26,26,1,21,2
3257,0,5,41,0,19,1
3258,15,35,15,1,15,6
3259,17,1,68,0,47,0
3260,12,6,38,0,23,1
3261,28,1,32,0,32,0
3262,31,0,55,0,31,0
3263,26,33,26,1,26,6
3264,0,5,37,0,0,1
3266,18,4,49,0,18,2
3268,17,42,17,2,27,6
3269,15,25,17,1,31,0
3273,19,4,45,0,33,0
3275,16,73,16,2,16,10
3276,0,59,7,2,22,6
3278,16,37,30,1,30,6
3279,30,2,34,0,34,0
3280,23,2,56,0,28,1
3281,0,5,34,0,34,0
3282,27,5,41,0,30,1
3284,13,41,36,0,14,2
3285,25,4,52,0,25,1
3287,0,4,37,0,32,0
3290,21,18,42,0,40,0
3291,21,23,38,0,35,0
3293,26,4,53,0,26,1
3301,0,94,0,4,0,12
3303,12,41,12,2,12,6
3304,11,89,11,3,11,12
3307,17,38,17,1,17,6
3431,0,19,16,1,0,1
3440,0,2,51,0,0,1
3441,14,32,25,1,25,4
3442,12,3,53,0,12,2
3443,22,36,22,2,22,4
3444,18,2,39,0,0,1
3445,18,16,32,0,18,1
3446,0,18,0,1,16,1
3447,16,28,28,1,23,2
3448,14,18,28,1,14,1
3449,16,3,50,0,16,2
3450,26,17,35,0,15,2
3451,0,16,19,1,19,3
3452,0,4,36,0,18,3
3455,14,20,21,1,14,2
3456,26,18,41,0,26,1
3457,21,17,35,0,21,3
3458,12,3,47,0,18,2
3461,0,26,31,0,21,5
3462,17,35,22,2,17,4
3464,19,18,43,0,19,2
3465,14,28,19,1,14,2
3466,16,34,16,1,16,4
3467,21,33,29,1,21,4
3470,25,19,29,1,28,1
3561,0,22,25,1,25,2
3570,0,10,93,0,0,1
3574,12,8,31,0,31,0
3575,25,1,50,0,50,0
3576,42,0,92,0,0,1
3579,68,0,133,0,55,0
3580,0,7,35,0,35,0
3581,0,1,108,0,37,0
3582,20,5,60,0,50,0
3583,15,5,59,0,38,0
3584,0,5,46,0,46,0
3585,22,13,40,0,40,0
3586,11,7,36,0,36,0
3588,20,10,91,0,20,1
3590,23,1,73,0,35,0
3592,66,0,102,0,37,0
3593,21,14,72,0,21,1
3595,13,12,45,0,45,0
3597,43,0,83,0,16,1
3598,0,11,46,0,46,0
3601,25,1,62,0,31,0
3602,21,19,42,0,28,1
3603,0,18,46,0,14,1
3604,12,8,41,0,30,1
3605,34,0,57,0,39,0
3607,27,3,55,0,35,0
3608,14,5,37,0,32,0
3609,4,20,36,0,21,1
3740,17,12,33,0,33,0
3741,28,36,37,0,28,1
3743,0,18,35,0,23,2
3745,18,12,34,0,22,1
3746,19,48,35,0,25,2
3748,20,36,29,1,20,1
3750,17,50,21,1,17,3
3751,10,41,35,0,14,2
3752,30,10,57,0,34,0
3753,0,46,28,1,0,2
3754,20,14,45,0,23,1
3755,0,52,11,1,14,4
3765,12,11,18,1,18,1
3766,0,53,12,1,0,5
3768,20,55,25,2,25,4
3770,18,46,29,1,18,1
3771,25,17,25,1,25,2
3773,16,14,42,0,20,1
3774,0,10,24,1,24,1
3777,0,5,23,1,23,1
3779,13,7,13,1,13,1
3780,14,7,26,1,26,1
3781,32,0,30,1,32,0
3782,16,15,41,0,20,1
3784,7,53,0,1,7,5
3785,0,6,35,0,35,0
3801,0,81,38,0,0,8
3809,25,7,47,0,25,2
3810,18,18,46,0,26,2
3811,9,129,13,2,13,11
3812,21,7,76,0,58,0
3813,14,12,84,0,31,0
3814,16,7,77,0,23,2
3816,18,2,75,0,18,2
3817,7,13,75,0,37,0
3818,0,14,89,0,36,0
3819,0,43,20,1,20,7
3820,0,78,48,0,11,8
3823,8,70,54,0,19,8
3824,0,75,50,0,19,8
3825,17,39,50,0,28,4
3826,6,109,15,2,15,11
3827,12,38,20,1,20,3
3830,9,3,71,0,33,0
3832,19,12,97,0,49,0
3833,0,49,31,0,30,4
3835,14,38,57,0,28,4
3836,25,5,77,0,36,0
3837,23,19,36,0,38,0
3838,19,7,88,0,55,0
3839,8,40,57,0,18,4
3840,11,68,36,0,11,4
3841,0,108,19,3,19,12
3842,0,63,28,1,22,7
3844,0,64,25,1,24,7
3845,12,11,93,0,49,0
3846,24,7,97,0,52,0
3847,9,13,96,0,45,0
3848,9,91,19,2,19,7
3849,0,14,87,0,45,0
3850,21,2,66,0,21,2
3851,24,6,76,0,38,0
3852,19,14,70,0,23,1
3853,13,2,74,0,13,2
3854,0,55,45,0,12,4
3855,26,7,54,0,30,2
3856,13,57,41,0,25,4
3857,0,57,44,0,26,4
3858,11,127,11,2,11,10
3860,0,13,92,0,39,0
3861,9,73,43,0,27,8
3862,9,55,33,0,16,4
3864,15,6,81,0,15,2
3865,7,132,7,2,7,10
3867,0,47,62,0,15,5
3868,7,49,67,0,19,6
3869,9,76,58,0,10,8
3870,0,57,44,0,15,4
3871,8,45,41,0,18,4
3872,0,3,78,0,23,2
3873,15,32,25,1,25,5
3874,8,77,20,1,20,9
3875,14,6,82,0,42,0
3878,0,70,58,0,0,8
3882,0,2,87,0,36,0
3883,7,3,61,0,39,0
3884,29,5,49,0,43,0
3885,13,51,38,0,19,4
3886,0,6,69,0,40,0
3887,16,8,69,0,28,2
3890,10,11,71,0,29,2
3894,0,3,68,0,0,2
3901,0,40,65,0,11,4
3902,12,39,56,0,27,6
3903,15,75,45,0,15,8
3904,9,59,41,0,11,4
3905,13,36,51,0,22,4
3906,16,50,53,0,19,8
3907,13,40,48,0,20,6
3908,0,69,59,0,19,8
3909,0,61,44,0,14,6
3910,7,41,51,0,22,6
3911,4,53,48,0,18,4
4001,17,12,64,0,17,2
4002,17,30,38,0,17,6
4003,31,0,68,0,31,0
4005,0,115,23,2,0,18
4006,16,28,37,0,16,4
4008,20,15,50,0,21,1
4009,0,5,56,0,0,1
4010,18,12,66,0,29,1
4011,0,14,41,0,0,1
4015,0,12,42,0,24,1
4017,75,0,78,0,75,0
4019,89,0,92,0,89,0
4020,25,4,54,0,49,0
4021,9,105,22,2,14,13
4022,22,5,70,0,22,1
4024,29,4,41,0,30,1
4027,16,35,66,0,20,6
4029,30,1,49,0,32,0
4030,0,12,40,0,29,2
4032,0,94,29,2,18,14
4037,0,16,79,0,24,1
4038,0,98,12,2,12,12
4039,0,127,21,2,20,13
4040,13,3,63,0,13,1
4041,0,1,62,0,38,0
4042,17,18,31,0,27,2
4043,0,37,34,0,0,5
4046,0,19,36,0,13,4
4047,24,3,63,0,50,0
4048,18,1,50,0,40,0
4049,25,1,38,0,38,0
4050,58,0,62,0,58,0
4051,18,4,83,0,27,1
4055,10,10,42,0,14,1
4056,25,2,58,0,35,0
4057,7,4,60,0,7,1
4061,13,1,47,0,35,0
4062,0,99,16,2,16,12
4063,5,104,23,2,9,16
4064,0,104,24,2,9,16
4066,24,8,62,0,24,1
4068,0,3,66,0,53,0
4069,9,23,36,0,26,2
4071,0,9,38,0,37,0
4072,0,108,20,2,5,16
4073,0,27,49,0,0,6
4074,0,118,11,2,12,15
4076,16,12,63,0,16,2
4079,20,8,59,0,20,1
4083,0,28,47,0,0,4
4084,18,17,29,1,29,1
4085,24,9,32,0,32,0
