"STATEFP","Year","AnyGSLdt","GSLArrdt","AnyGSLfr","GSLArrfr"
"01",2018,2015-06-10,NA,1,0
"02",2018,2008-09-08,NA,1,0
"04",2018,2018-04-26,NA,0.666666686534882,0
"05",2018,2015-07-22,2015-07-22,1,1
"06",2018,2013-01-01,2013-01-01,1,1
"08",2018,2012-05-29,2016-08-10,1,1
"09",2018,2011-10-01,2011-10-01,1,1
"10",2018,2013-08-31,2013-08-31,1,1
"11",2018,2013-03-19,2013-03-19,1,1
"12",2018,2012-10-01,NA,1,0
"13",2018,2014-04-24,2014-04-24,1,1
"15",2018,2015-07-07,2015-07-07,1,1
"16",2018,2018-07-01,NA,0.5,0
"17",2018,2012-06-01,NA,1,0
"18",2018,2014-03-26,2016-07-01,1,1
"19",2018,2018-07-01,NA,0.5,0
"20",2018,NA,NA,0,0
"21",2018,2015-03-25,NA,1,0
"22",2018,2014-08-01,NA,1,0
"23",2018,NA,NA,0,0
"24",2018,2009-10-01,2015-10-01,1,1
"25",2018,2012-08-02,NA,1,0
"26",2018,2017-01-04,NA,1,0
"27",2018,2014-07-01,NA,1,0
"28",2018,2015-07-01,2015-07-01,1,1
"29",2018,2017-08-28,2017-08-28,1,1
"30",2018,2017-05-03,NA,1,0
"31",2018,2017-08-24,2017-08-24,1,1
"32",2018,2015-10-01,2015-10-01,1,1
"33",2018,2015-09-06,2015-09-06,1,1
"34",2018,2013-05-02,2013-05-02,1,1
"35",2018,2007-06-15,NA,1,0
"36",2018,2011-09-18,NA,1,0
"37",2018,2013-04-09,NA,1,0
"38",2018,2015-08-01,NA,1,0
"39",2018,2016-09-13,2016-09-13,1,1
"40",2018,NA,NA,0,0
"41",2018,2016-01-01,2016-01-01,1,1
"42",2018,2014-12-01,NA,1,0
"44",2018,2012-06-18,NA,1,0
"45",2018,2017-06-10,NA,1,0
"46",2018,2017-07-01,2017-07-01,1,1
"47",2018,2015-07-01,2015-07-01,1,1
"48",2018,NA,NA,0,0
"49",2018,2014-03-20,NA,1,0
"50",2018,2013-06-05,2013-06-05,1,1
"51",2018,2015-07-01,NA,1,0
"53",2018,2010-06-10,NA,1,0
"54",2018,2015-06-12,NA,1,0
"55",2018,2014-04-09,NA,1,0
"56",2018,NA,NA,0,0
